Date,Country,State,Market Size,Product,City,Product Line,Product Type,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Marketing,Sales,Total Expenses
01/01/2018,United Kingdom,England,Small Market,Decaf Irish Cream,Basingstoke,Beans,Coffee,Decaf,44,66,55,110,37,855,10,90,22
01/02/2018,United Kingdom,England,Small Market,Decaf Espresso,Basingstoke,Beans,Espresso,Decaf,44,77,55,121,62,421,19,151,44
01/04/2018,United Kingdom,England,Small Market,Caffe Latte,Basingstoke,Beans,Espresso,Regular,55,77,0,132,70,41,63,165,95
01/04/2018,United Kingdom,England,Small Market,Chamomile,Basingstoke,Leaves,Herbal Tea,Decaf,44,77,55,121,58,666,19,131,32
01/05/2018,United Kingdom,England,Small Market,Caffe Latte,Basingstoke,Beans,Espresso,Regular,55,88,11,143,71,-125,64,170,96
01/05/2018,United Kingdom,England,Small Market,Chamomile,Basingstoke,Leaves,Herbal Tea,Decaf,44,66,44,110,53,659,17,123,31
01/07/2018,United Kingdom,England,Small Market,Caffe Latte,Basingstoke,Beans,Espresso,Regular,44,55,0,99,52,-435,47,125,80
01/08/2018,United Kingdom,England,Small Market,Lemon,Basingstoke,Leaves,Herbal Tea,Decaf,66,99,44,165,80,667,30,176,66
01/08/2018,United Kingdom,England,Small Market,Caffe Latte,Basingstoke,Beans,Espresso,Regular,33,66,11,99,49,-559,43,116,75
01/09/2018,United Kingdom,England,Small Market,Caffe Mocha,Basingstoke,Beans,Espresso,Regular,44,88,66,132,63,384,19,167,46
01/09/2018,United Kingdom,England,Small Market,Decaf Espresso,Basingstoke,Beans,Espresso,Decaf,33,66,44,99,51,500,16,125,40
01/10/2018,United Kingdom,England,Small Market,Caffe Mocha,Basingstoke,Beans,Espresso,Regular,33,77,77,110,66,362,20,175,46
01/12/2018,United Kingdom,England,Small Market,Lemon,Basingstoke,Leaves,Herbal Tea,Decaf,66,88,33,154,75,681,28,169,65
01/12/2018,United Kingdom,England,Small Market,Caffe Latte,Basingstoke,Beans,Espresso,Regular,44,66,0,110,61,-1159,54,145,87
01/12/2018,United Kingdom,England,Small Market,Caffe Mocha,Basingstoke,Beans,Espresso,Regular,33,55,22,88,46,352,14,118,39
01/02/2019,United Kingdom,England,Small Market,Lemon,Basingstoke,Leaves,Herbal Tea,Decaf,88,110,44,198,95,533,36,227,72
01/02/2019,United Kingdom,England,Small Market,Decaf Espresso,Basingstoke,Beans,Espresso,Decaf,44,77,55,121,62,421,19,161,44
01/03/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Basingstoke,Beans,Coffee,Decaf,66,99,77,165,54,844,15,142,28
01/03/2019,United Kingdom,England,Small Market,Decaf Espresso,Basingstoke,Beans,Espresso,Decaf,44,77,55,121,58,414,18,151,43
01/04/2019,United Kingdom,England,Small Market,Caffe Latte,Basingstoke,Beans,Espresso,Regular,55,77,0,132,70,41,63,176,95
01/05/2019,United Kingdom,England,Small Market,Chamomile,Basingstoke,Leaves,Herbal Tea,Decaf,44,66,44,110,53,659,17,121,29
01/05/2019,United Kingdom,England,Small Market,Caffe Latte,Basingstoke,Beans,Espresso,Regular,55,88,11,143,71,-125,64,169,90
01/05/2019,United Kingdom,England,Small Market,Caffe Mocha,Basingstoke,Beans,Espresso,Regular,44,77,55,121,53,387,16,142,39
01/07/2019,United Kingdom,England,Small Market,Lemon,Basingstoke,Leaves,Herbal Tea,Decaf,77,99,44,176,84,675,31,184,64
01/08/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Basingstoke,Beans,Coffee,Decaf,77,132,110,209,70,951,19,169,29
01/09/2019,United Kingdom,England,Small Market,Lemon,Basingstoke,Leaves,Herbal Tea,Decaf,66,88,33,154,74,659,28,176,64
01/10/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Basingstoke,Beans,Coffee,Decaf,77,99,88,176,53,937,15,139,28
01/11/2019,United Kingdom,England,Small Market,Chamomile,Basingstoke,Leaves,Herbal Tea,Decaf,99,132,88,231,112,608,37,271,50
01/12/2019,United Kingdom,England,Small Market,Chamomile,Basingstoke,Leaves,Herbal Tea,Decaf,88,121,77,209,104,594,35,251,48
01/12/2019,United Kingdom,England,Small Market,Colombian,Basingstoke,Beans,Coffee,Regular,55,99,77,154,54,930,15,141,28
01/08/2018,United Kingdom,England,Major Market,Colombian,Bristol,Beans,Coffee,Regular,429,495,374,924,343,1426,106,746,129
01/09/2018,United Kingdom,England,Major Market,Decaf Espresso,Bristol,Beans,Espresso,Decaf,66,121,99,187,90,647,25,219,37
01/03/2019,United Kingdom,England,Major Market,Caffe Latte,Bristol,Beans,Espresso,Regular,66,99,55,165,80,208,26,212,60
01/06/2019,United Kingdom,England,Major Market,Lemon,Bristol,Leaves,Herbal Tea,Decaf,33,66,33,99,42,456,14,102,37
01/07/2019,United Kingdom,England,Major Market,Caffe Mocha,Bristol,Beans,Espresso,Regular,88,154,132,242,115,1048,32,280,41
01/01/2018,United Kingdom,Scotland,Major Market,Regular Espresso,Dundee,Beans,Espresso,Regular,176,187,121,363,187,1201,52,376,79
01/02/2018,United Kingdom,Scotland,Major Market,Darjeeling,Dundee,Leaves,Tea,Regular,33,55,44,88,36,899,9,88,22
01/02/2018,United Kingdom,Scotland,Major Market,Green Tea,Dundee,Leaves,Tea,Regular,22,44,33,66,25,498,7,62,19
01/03/2018,United Kingdom,Scotland,Major Market,Darjeeling,Dundee,Leaves,Tea,Regular,33,55,44,88,36,895,9,87,21
01/03/2018,United Kingdom,Scotland,Major Market,Colombian,Dundee,Beans,Coffee,Regular,66,440,396,506,80,-60,26,542,60
01/05/2018,United Kingdom,Scotland,Major Market,Colombian,Dundee,Beans,Coffee,Regular,66,506,473,572,71,-730,24,607,59
01/07/2018,United Kingdom,Scotland,Major Market,Lemon,Dundee,Leaves,Herbal Tea,Decaf,33,55,22,88,57,461,21,127,59
01/07/2018,United Kingdom,Scotland,Major Market,Caffe Mocha,Dundee,Beans,Espresso,Regular,33,77,22,110,43,616,40,123,72
01/11/2018,United Kingdom,Scotland,Major Market,Colombian,Dundee,Beans,Coffee,Regular,66,374,330,440,83,-3616,27,500,61
01/01/2019,United Kingdom,Scotland,Major Market,Green Tea,Dundee,Leaves,Tea,Regular,33,55,44,88,36,502,9,99,22
01/02/2019,United Kingdom,Scotland,Major Market,Green Tea,Dundee,Leaves,Tea,Regular,22,44,33,66,25,498,7,66,19
01/07/2019,United Kingdom,Scotland,Major Market,Colombian,Dundee,Beans,Coffee,Regular,44,649,616,693,58,-1643,19,725,51
01/08/2019,United Kingdom,Scotland,Major Market,Lemon,Dundee,Leaves,Herbal Tea,Decaf,33,55,22,88,54,456,20,119,52
01/10/2019,United Kingdom,Scotland,Major Market,Darjeeling,Dundee,Leaves,Tea,Regular,22,55,55,77,30,945,8,77,21
01/11/2019,United Kingdom,Scotland,Major Market,Green Tea,Dundee,Leaves,Tea,Regular,33,55,44,88,36,531,9,94,21
01/12/2019,United Kingdom,Scotland,Major Market,Darjeeling,Dundee,Leaves,Tea,Regular,33,55,44,88,37,957,10,96,22
01/12/2019,United Kingdom,Scotland,Major Market,Caffe Mocha,Dundee,Beans,Espresso,Regular,44,55,-11,99,52,629,47,117,80
01/02/2018,United Kingdom,England,Major Market,Colombian,Bristol,Beans,Coffee,Regular,286,352,264,638,235,1037,73,512,97
01/03/2018,United Kingdom,England,Major Market,Decaf Espresso,Bristol,Beans,Espresso,Decaf,66,121,99,187,90,486,25,218,37
01/12/2018,United Kingdom,England,Major Market,Colombian,Bristol,Beans,Coffee,Regular,308,374,264,682,266,1454,82,578,106
01/12/2018,United Kingdom,England,Major Market,Caffe Mocha,Bristol,Beans,Espresso,Regular,99,154,121,253,136,1055,38,333,51
01/07/2019,United Kingdom,England,Major Market,Colombian,Bristol,Beans,Coffee,Regular,352,418,319,770,286,1451,88,619,104
01/01/2018,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,176,176,110,352,187,1201,52,376,80
01/01/2018,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,77,110,77,187,63,401,20,154,46
01/01/2018,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,33,44,44,77,40,855,11,99,24
01/01/2018,United Kingdom,England,Small Market,Darjeeling,Leeds,Leaves,Tea,Regular,22,33,33,55,36,502,9,88,22
